areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Manhattan,Manhattan,borough,2800,2795,2705,2800,2800,2820,2873,2890,2995,3000,2995,2950,2950,2995,2950,2995,3000,3100,3100,3150,3250,3250,3245,3200,3150,3100,3100,3195,3200,3200,3200,3200,3250,3200,3250,3225,3200,3200,3200,3200,3195,3150,3195,3225,3260,3250,3250,3242,3200,3200,3200,3266,3291,3250,3200,3200,3200,3200,3200,3200,3200,3250,3250,3295,3335,3350,3350,3395,3400,3350,3295,3300,3299,3300,3350,3375,3399,3395,3350,3300,3327,3300,3295,3250,3215,3250,3250,3300,3300,3300,3300,3300,3300,3268,3200,3200,3200,3204,3200,3250,3300,3300,3300,3300,3299,3254,3250,3295,3275,3300,3300,3400,3460,3500,3499,3495,3500,3500,3500,3500,3500,3500,3500,3450,3300,3203,3100,2999,2915,2825,2800,2800,2778,2799,2800,2800,2896,2950,3000,3136,3250,3317,3495,3550,3724,3820,3895,4000,4036,4100,4195,4150,4195,4150,4100,4171,4200,4300,4292,4395,4393,4350,4315,4295,4275,4195,4150,4156,4200,4250,4295,4395,4405,4395,4375,4300,4264,4250,4200,4300,4350,4400
Manhattan Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,3700,,,,,4100,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marble Hill,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,2200,2235,2200,,,,,2200,2255,2320,,,2240,2220,2013,1975,2160,,,2050,2095,2363,,,2075,2175,,,2383,,2383,,2260,,,,,1838,,,,,,1895,1895,1895,1875,1885,,1850,1925,,,,1938,1950,,,,,,,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1625,,1825,1850,,,1750,,,2150,,2000,1800,,1868,2200,,,2050,1875,1850,,,1750,1750,1950,2000,,,2096,2271,2300,2300,,,,,,1699,,2250,2600,2500,1700,2000,2325,1868,,,,2195,2200,,,,,,,,,,,,,,2075,2075,2100,,2000,,,,,,2000,1925,,,,,2500,2999,,2913,,,,,2699,,,,,,,,,,,,,,,,,,,,,,,3325,,,,
Maspeth,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,1800,1650,1750,,,,1625,1600,1900,1748,,,2400,2400,2400,2000,2000,1950,2000,1950,1900,1800,1825,1875,1850,1850,1800,2000,2000,1950,2175,2163,2100,2000,2100,2095,2000,2099,2150,2100,2100,2150,2175,2200,2200,2148,2000,2000,2125,2050,2250,2200,2000,2199,2075,2200,2100,2099,2075,2025,2100,2100,2200,2100,2093,2199,2199,2098,2100,2100,2100,1975,1950,2100,2225,2100,2295,2250,2100,2100,1999,1917,1925,1900,1900,2000,2100,2100,2100,2050,2160,2170,2000,2100,2199,2175,2200,2399,2300,2250,2300,2400,2425,2500,2500,2500,2500,2400,2350,2500,2500,2450,2500,2544,2519,2675,2500,2500,2613,2599,2525,2475,2600,2575,2513,2600,2648,2675,2500,2700,2598,2587,2550,2525
Melrose,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,1237,1243,1243,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713,1925,1982,2000,2025,,1880,1817,,,,,,1900,1663,,1842,1775,1675,,,1840,1840,1837,1750,1844,1975,2034,2016,1987,1920,1920,1920,1795,2200,2200,,,,,1438,,2108,2150,,1750,,,1723,1900,1848,1975,,1999,2000,2195,1995,1995,,1895,1800,1800,2100,2100,2000,1963,2100,,,,2150,2300,2200,,2600,2800,2400,2335,2255,2200,2200,2200,,,,2323,2150,2150,2225,2800,,,,1800,2000
Middle Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,1798,,,1800,1800,1775,1775,,1875,1900,2075,2150,2000,2000,2000,2000,2000,2100,1880,1800,1850,1800,1999,1999,1999,2000,2000,2000,2000,2025,2100,2100,2250,1900,1875,2000,1973,1950,2000,1999,1875,1723,,2200,2000,2075,2085,2095,2000,2100,2200,2200,2099,2000,2099,1950,2199,2200,2200,2000,2200,2050,2300,2450,2450,2100,2200,2300,2287,,2399,2400,2275,2238,2200,2100,2199,1975,2200,2000,2000,2200,2100,2100,1975,2100,2199,2100,2248,2300,2300,2100,2100,2599,2400,2499,2500,2500,2500,2588,2400,2399,2625,2600,2650,2538,2538,2500,2500,2500,2325,2400,2500,2500,2600,2600,2775,2400,2525,2600,2500,2650,2700,2600,2700,2850,2375,2650
Midtown,Manhattan,neighborhood,3700,3800,3825,4000,3995,3995,3925,3898,3900,3800,3900,3995,3995,4198,3950,4000,3998,3998,4165,4298,4100,4298,4425,4200,4250,4200,4000,4200,4298,4150,4000,4000,4200,4098,4000,4000,3900,4100,4000,3995,3900,3995,3850,3900,3900,4000,3925,3800,3838,3800,3954,3900,3825,3900,3850,3850,3895,4000,4000,4000,4200,4000,4000,4000,4200,4064,4100,3975,3973,3995,3975,4000,4000,4250,4000,4000,4057,4095,4000,3950,3960,3900,3890,3938,3950,4000,3999,4000,4200,4200,4198,3802,4000,3900,3854,3900,3863,3950,3900,3800,3800,3900,3873,3895,3930,3995,4000,3910,3859,3900,4000,4000,4200,4198,4125,4000,4125,4295,4328,4277,4034,4073,4150,3950,3700,3552,3500,3675,3600,3500,3497,3500,3400,3500,3500,3500,3855,3900,3990,4250,4513,4650,4587,4850,4995,4998,5000,5000,5170,4788,5000,4900,4975,5000,5145,5097,5110,5145,5000,5200,5400,5198,5100,5190,5202,5075,5000,5060,5380,5505,5254,5160,5025,4800,5011,5100,4995,4842,4850,4900,4925,4950
Midtown East,Manhattan,neighborhood,2695,2625,2650,2697,2700,2700,2800,2800,2800,2800,2900,2895,2900,2980,2950,3000,3050,3200,3200,3160,3200,3200,3200,3150,3100,3050,3050,3095,3100,3100,3100,3150,3195,3150,3150,3150,3150,3200,3195,3195,3200,3195,3195,3200,3200,3200,3200,3203,3193,3200,3200,3250,3243,3250,3200,3243,3200,3200,3295,3226,3295,3300,3300,3350,3400,3400,3400,3400,3450,3350,3338,3350,3300,3369,3350,3400,3400,3395,3400,3400,3400,3395,3329,3300,3295,3350,3331,3395,3395,3400,3375,3322,3300,3300,3195,3198,3250,3275,3285,3345,3395,3400,3425,3400,3395,3395,3400,3420,3387,3395,3400,3428,3495,3500,3595,3595,3575,3542,3600,3500,3573,3512,3500,3425,3295,3125,3000,2950,2850,2754,2750,2725,2719,2800,2850,2945,3000,3129,3350,3495,3695,3700,3995,3995,4200,4261,4238,4225,4200,4200,4300,4175,4200,4100,4100,4200,4200,4326,4348,4500,4458,4495,4400,4424,4421,4300,4250,4250,4286,4295,4297,4375,4495,4495,4431,4450,4353,4350,4331,4400,4495,4500
Midtown South,Manhattan,neighborhood,3198,3200,3250,3340,3400,3375,3400,3380,3385,3325,3425,3400,3450,3300,3400,3525,3450,3495,3500,3500,3398,3300,3475,3300,3475,3300,3300,3450,4050,3895,3770,3700,3625,3675,3600,3498,3500,3450,3450,3450,3600,3500,3550,3525,3500,3550,3595,3500,3400,3513,3450,3495,3650,3650,3538,3650,3638,3550,3673,3800,3698,3600,3725,3698,3748,3788,3790,3950,3950,3895,3895,3950,3950,3950,3895,3895,3925,3934,3965,3924,3992,3995,3965,3950,3895,3950,3965,3964,3923,3885,3950,3969,3965,3950,3689,3623,3572,3616,3598,3650,3675,3950,3850,4053,3988,3965,3840,3895,3800,3900,3995,3923,4000,4149,4155,4097,4195,4028,4028,4125,3992,4200,4156,3760,3696,3575,3458,3289,3200,3300,3100,3188,3200,3255,3286,3395,3655,3975,4070,4358,4598,4600,4595,4795,4995,4735,4673,4873,4995,5000,5000,4895,4748,4700,4550,4875,4895,4900,4900,5025,4800,4998,4745,4800,4800,4700,4550,4575,4950,4995,5000,5000,4995,4900,4950,4900,4795,4890,4804,4995,4777,4895
Midtown West,Manhattan,neighborhood,2600,2650,2650,2650,2790,2800,3000,2895,2953,3000,3000,2995,2950,2983,3055,3100,3150,3100,3195,3200,3270,3265,3255,3298,3200,3150,3290,3300,3300,3250,3300,3350,3390,3350,3450,3475,3397,3400,3390,3350,3290,3300,3275,3300,3346,3395,3350,3350,3350,3350,3425,3320,3450,3450,3400,3330,3300,3400,3433,3450,3450,3500,3495,3495,3500,3500,3485,3490,3493,3400,3350,3300,3290,3315,3395,3450,3453,3400,3400,3400,3450,3400,3369,3333,3300,3321,3215,3342,3400,3415,3450,3495,3441,3400,3300,3300,3297,3300,3301,3390,3450,3495,3454,3461,3500,3495,3470,3500,3450,3502,3500,3507,3575,3600,3650,3700,3650,3600,3600,3647,3600,3620,3600,3500,3300,3195,3042,2950,2900,2899,2850,2825,2899,2895,2933,3000,3000,3177,3421,3500,3700,3850,3904,4000,4198,4175,4150,4275,4410,4300,4300,4150,4200,4170,4186,4243,4250,4290,4291,4363,4393,4364,4313,4350,4150,4073,4053,4090,4250,4290,4300,4363,4500,4500,4495,4450,4382,4343,4250,4350,4466,4500
Midwood,Brooklyn,neighborhood,1825,1850,1675,1725,,1725,1650,1525,,1300,1448,1300,1275,1349,1349,1399,1500,1500,1500,1500,1473,1500,1500,1400,1400,1300,1300,1400,1500,1450,1400,1385,1363,1300,1400,1350,1350,1300,1300,1500,1550,1575,1350,1400,1350,1400,1400,1350,1350,1350,1475,1525,1575,1595,1600,1600,1508,1533,1473,1473,1500,1525,1560,1550,1600,1700,1700,1799,1763,1750,1725,1700,1650,1763,1775,1850,1850,1897,1863,1825,1838,1725,1800,1830,1800,1825,1900,1888,1800,1850,1800,1750,1850,1787,1800,1700,1765,1750,1725,1750,1750,1750,1795,1850,1895,1808,1807,1797,1825,1846,1850,1899,1899,1875,1900,2075,1950,1975,2000,2100,2100,2050,2100,2055,2055,2000,1925,1950,1858,1850,1850,1850,1850,1773,1800,1845,1950,1985,1976,1975,2096,1997,2100,2100,2163,2125,2100,2095,2200,2300,2300,2250,2300,2500,2450,2500,2600,2550,2550,2446,2528,2399,2450,2497,2495,2830,2750,2750,2599,2550,2425,2795,2995,2850,2795,2800,2749,2635,2800,2850,2695,2598
Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morningside Heights,Manhattan,neighborhood,2200,2150,2100,2000,2050,2178,2178,1995,1995,2350,2423,2396,2396,2373,2373,2500,2500,2385,2850,2875,2995,2500,2625,2650,2813,2675,2550,2795,2950,2950,2995,2795,2973,2775,2725,2700,2575,2650,2697,2795,2825,2800,2850,2888,3000,3075,2993,2993,3280,3140,3225,3275,3365,3265,3350,3382,3295,3195,3270,3333,3000,3260,3255,3295,3395,3500,3500,3460,3370,3390,3000,3010,2950,3184,3254,3300,3254,3300,3360,3300,3300,3315,3295,3208,3284,3197,3190,3240,3214,3100,3200,3215,3000,2863,2869,2979,2900,2979,2995,2997,3150,3195,3200,3200,3100,3010,2975,2937,2995,2850,2929,3000,3145,3375,3295,3323,3295,3123,3200,3200,3200,3200,3200,3132,3367,3350,3170,2950,2853,2896,2850,2999,3200,3000,3195,3364,3431,3300,3300,3335,3095,3350,3600,3200,3295,3298,3766,4017,3900,4000,3750,3848,4350,3900,4215,3950,3895,4215,4193,4450,4200,4200,4200,4186,4200,3802,4150,4200,4200,4200,4398,4150,3895,3997,4000,4000,3935,4098,4100,4305,4158,4358
Morris Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1250,1250,1250,1295,1295,1295,1295,1295,1295,1295,,1914,1450,1595,,,1700,1600,1545,1545,2000,,,1525,1473,1525,1563,1600,1460,1495,1795,1495,1495,1650,1600,1700,1675,1675,1675,,,,,,,,1750,1800,1800,1595,1602,1698,1695,1695,1650,1650,,1800,1848,2100,2100,2050,1884,1967,1967,2061,1900,,,1850,1850,1798,1850,1900,1800,1850,,,,,1825,,1750,1800,1795,,1848,,,,1925,,2132,2149,,2200,2445,2548,2575,2295,2248,2890,2676,2890,2890,,,,,,,,,,1941,,,,,,,,,,,
Morris Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299,1375,1375,,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1390,1399,1399,1450,1450,1475,1450,1450,1450,1450,1450,1450,1450,1500,1500,1500,1500,1500,1500,1500,1500,1500,1550,1625,1600,1650,1600,1600,1723,1600,1600,1600,1800,1825,1900,1900,1875,1813,1900,1925,1725,1850,1650,1650,1787,1800,1700,1750,1775,1900,1900,1995,1899,2225,2200,,1745,1700,1999,1998,,1998,2024,1714,1757,1869,1849,1688,1675,1700,1850,2075,2049,1749,1800,1899,1825,,1949,,,,,,,1999,2200,2300,2270,,1750,1823,1825,1948,2000,1975,1900,2350,2350,2400,2324,,2299,2299,,,2199,2447,2443,1875,,,,,,,2375,2363
Morrisania,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123,1123,,,,,,,,,,,,,,,,1850,1700,,,,,,,,,,,,,,,1825,,,,,,,1775,1650,2200,1700,2000,1700,,,1800,1875,1887,2108,2031,2050,1849,,,1850,,,,,,,,1800,,2005,,,,,2025,,,,,,,2550,,,,,,,,,,,,,,,,1975,,,,,,2250,2425,,,,,,,,,,2400,,,2525,3000,,
Mott Haven,Bronx,neighborhood,,,,,1600,,,,,,,1500,1500,,,926,763,926,,,,,,,,,,,,,,,,,,,,,,1500,1500,1900,1900,1800,,,,,1800,1800,1850,,1575,1599,1600,1600,1625,1500,1525,1665,1699,1700,1700,1750,1750,1700,1725,1750,1875,2000,2150,2100,2100,2050,2150,1850,1800,1913,1948,1900,1900,1900,2350,2367,2200,1988,2118,1950,1950,1950,1950,1950,1860,1925,2155,2155,2155,2200,2200,2238,2250,2290,2300,2250,2125,2000,2000,1950,2025,2295,2238,2250,2250,2475,2446,2381,2350,2295,2185,2189,2275,2389,2389,2350,2188,2100,2259,2220,2200,2200,2267,2250,2275,2200,2248,2318,2350,2300,2400,2450,2500,2481,2504,2500,2725,2825,3013,2675,2800,2825,2850,2822,2750,2825,2750,2600,2865,2882,2877,2865,2950,2982,3000,3031,3070,3200,3050,3100,3106,3050,3050,3100,3175,3189,3180,3180,3150,3120,3120,3130,3130,3124
NYC,,city,2650,2600,2600,2650,2695,2700,2750,2750,2800,2825,2800,2750,2750,2725,2743,2795,2800,2895,2896,2950,3000,3000,3000,2995,2950,2925,2950,2995,2995,2995,2995,3000,3050,3000,3000,3000,2995,3000,3000,2995,2995,2995,2995,3000,3000,2995,2950,2930,2900,2900,2900,2950,2950,2900,2885,2885,2850,2825,2800,2800,2800,2800,2800,2850,2870,2900,2900,2950,2900,2895,2825,2850,2856,2895,2900,2925,2950,2975,2950,2950,2900,2870,2800,2800,2750,2750,2700,2750,2770,2795,2800,2853,2800,2795,2700,2700,2695,2672,2699,2750,2795,2800,2818,2800,2784,2700,2658,2655,2695,2700,2700,2800,2850,2900,2950,2947,2925,2900,2899,2895,2900,2900,2925,2995,2950,2890,2800,2745,2650,2550,2500,2500,2499,2500,2495,2500,2520,2600,2695,2700,2750,2700,2750,2800,2900,2995,3000,3200,3350,3500,3550,3550,3500,3500,3400,3407,3495,3500,3500,3675,3730,3750,3795,3750,3700,3600,3500,3500,3500,3554,3600,3700,3799,3800,3800,3800,3725,3650,3600,3600,3600,3645
New Hyde Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolita,Manhattan,neighborhood,3248,2825,3195,3273,3325,3350,2900,3395,3348,3500,3100,2995,3300,3300,2825,3200,3395,3200,3495,3495,3685,3548,3995,3598,3595,3495,3495,3495,3495,3495,3495,3495,3395,3395,3395,3225,3395,3100,3225,3300,3495,3795,3600,3495,3495,2500,3395,3400,3300,3225,3300,3398,3400,3400,3495,3495,3495,3420,3500,3495,3595,3450,3495,3595,3500,3595,3595,3595,3550,3500,3500,3550,3595,3560,3595,3973,3795,3750,3695,3695,3825,3750,3875,3800,3600,3995,3600,3748,3679,3723,3795,3795,3625,3495,3498,3500,3500,3495,3500,3595,3645,3695,3895,3714,3595,3650,3700,3500,3375,3500,3563,3750,3850,3795,3795,3895,3795,3795,3825,3895,3750,3895,3795,3750,3500,3500,3400,3200,3000,2995,2950,2800,2777,2625,2673,2698,3000,3573,3700,4048,3995,3995,3695,3625,4148,4000,4195,4495,4548,4800,4995,5300,4995,5100,4900,4900,4450,4495,4448,4295,4395,4495,4830,4880,4880,4515,4500,4495,4500,4550,4495,4500,4500,4595,4750,4895,5200,5450,5495,5150,4900,4900
North Brooklyn,Brooklyn,submarket,2500,2475,2475,2500,2550,2625,2700,2800,2850,2900,2750,2700,2600,2650,2700,2850,2850,2900,2900,2857,2850,2900,2975,2850,3000,2995,2950,3000,3000,3150,3100,3000,3300,3300,3277,3369,3200,3200,3150,3000,3000,3200,3200,3150,3100,3046,3025,2950,3000,3000,3000,3150,3195,3200,3200,3200,3120,3047,3000,3000,3000,3000,3000,3050,3000,3150,3250,3200,3150,3125,3150,3198,3195,3087,3025,3000,3099,3100,3100,3100,3091,3071,3000,2999,2999,2995,3000,3000,3000,3099,3095,3000,3000,2970,2875,2800,2800,2865,2900,2953,2999,3000,3000,3000,2999,2995,2899,2860,2950,2995,2975,3138,3249,3270,3399,3415,3495,3497,3499,3500,3450,3499,3425,3399,3289,3170,3100,3000,2899,2800,2800,2799,2750,2800,2800,2800,2850,3053,3400,3600,3718,3593,3700,3750,3700,3800,3800,4000,4000,4300,4399,4300,4350,4300,4100,4200,4200,4245,4250,4300,4418,4495,4500,4500,4500,4475,4253,4250,4320,4350,4400,4499,4500,4509,4500,4500,4500,4500,4500,4500,4500,4500
North Corona,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1850,,,,,,,1748,1550,1595,,,1595,1595,,,1995,1850,,1613,1675,,,,,,,,,,,,,,1775,1725,2250,1763,,,1695,1550,,1575,1610,1700,1725,1633,1950,1950,1700,1698,,,1645,1550,,1650,1883,2325,1850,2495,1750,,,1775,2100,2450,,,,,,,1725,,1950,2150,1938,2050,,2300,2300,2145,1995,1990,1550,,,,,,,,2300,2125,,,2100,,2700,,2025,,,,,2800,3500,2480,,,,2750,2800,2898,3180,2999,2999,2948,2450,2250,2248,,,2500,,,
Northeast Queens,Queens,submarket,1650,1600,1625,1450,1400,1350,1400,1550,1550,1600,1473,1495,1495,1500,1500,1500,1600,1700,1725,1775,1650,1500,1600,1575,1575,1525,1626,1663,1700,1700,1700,1850,1795,1850,1725,1700,1650,1673,1700,1700,1700,1700,1798,1873,1900,1790,1725,1800,1800,1750,1700,1750,1725,1775,1765,1950,1873,1850,1895,1800,1800,1800,1800,1850,1850,1850,1885,1900,1895,1950,1895,1900,1900,1925,1950,2000,1998,1950,1950,1898,1950,2000,1950,2000,1975,1975,1938,2000,1975,2000,2100,2000,1900,1975,2000,1900,1975,1899,1900,1950,1975,2000,1995,1988,1999,1930,1950,2000,1925,1975,1999,1995,1990,2000,2000,1975,1994,1900,1889,1890,1933,1950,1995,1925,1900,1995,2000,1900,2000,1950,1975,1950,1875,1850,1850,1850,1851,1875,1895,1900,1950,1950,1950,1997,2029,2000,2050,2025,2100,2100,2195,2250,2197,2250,2250,2300,2250,2200,2195,2295,2350,2350,2350,2385,2450,2450,2400,2450,2450,2500,2495,2500,2550,2600,2600,2500,2499,2450,2500,2500,2550,2500
Northwest Brooklyn,Brooklyn,submarket,2300,2300,2290,2300,2400,2400,2475,2500,2600,2600,2489,2400,2495,2500,2500,2500,2500,2580,2600,2715,2800,2800,2700,2700,2800,2795,2800,2800,2800,2800,2850,3000,3000,3000,2995,3000,2850,2900,2950,3000,2997,3000,3000,3075,3000,2995,2927,2900,2950,2950,2950,2950,2950,2950,2950,3000,2900,2995,3000,2905,2900,2950,3000,3000,3000,3000,3000,3050,3100,3000,3000,2995,3000,3000,3050,3050,3100,3095,3069,3050,3000,3000,2975,2940,2950,2995,2950,2995,3000,3000,3000,3000,2995,2999,2915,2980,2995,2950,3000,3000,3163,3195,3200,3200,3100,3044,3100,3128,3100,3090,3150,3285,3346,3400,3400,3415,3424,3400,3300,3300,3375,3350,3349,3281,3291,3185,3100,3000,2921,2850,2800,2800,2760,2795,2800,2875,2950,3000,3192,3349,3500,3499,3600,3725,3850,3895,3812,3954,4100,4194,4300,4300,4250,4194,4286,4190,4139,4100,4139,4200,4200,4200,4250,4250,4295,4175,4017,4109,4193,4100,4182,4250,4300,4350,4466,4500,4480,4430,4408,4448,4500,4465
Northwest Queens,Queens,submarket,1800,1817,1944,1950,1950,2000,2000,2030,2200,2313,2198,2100,1900,2000,1900,1900,1995,2200,2150,2200,2500,2200,2600,2250,2200,2810,2785,2760,2745,2720,2765,2758,2670,2585,2400,2378,2300,2275,2200,2300,2300,2300,2385,2500,2550,2400,2500,2400,2325,2250,2200,2500,2400,2495,2395,2395,2350,2350,2300,2297,2300,2295,2300,2400,2400,2400,2400,2475,2400,2350,2395,2400,2350,2400,2400,2450,2500,2500,2500,2550,2500,2400,2395,2350,2300,2300,2300,2300,2300,2350,2351,2419,2400,2348,2350,2300,2250,2250,2250,2295,2300,2300,2350,2400,2400,2300,2300,2299,2300,2300,2300,2395,2400,2400,2450,2499,2500,2550,2550,2500,2550,2583,2500,2600,2500,2450,2400,2300,2250,2199,2150,2099,2095,2099,2000,2140,2200,2299,2300,2400,2400,2400,2436,2500,2500,2541,2600,2800,2900,3000,3100,3200,3200,3100,3000,3175,3195,3000,3100,3200,3300,3300,3400,3400,3200,3240,3200,3300,3222,3230,3200,3250,3397,3328,3500,3600,3490,3350,3350,3400,3495,3450
Norwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,,,,,1250,1225,1200,,,1200,1200,,,,1300,1300,1300,1300,1400,1375,1350,1400,1400,1400,1400,1500,1413,1400,1449,1400,1400,1352,1350,1350,1425,1498,1425,1400,1425,1400,1498,1500,1500,1463,1495,1500,1475,1495,1485,1475,1500,1550,1550,1675,1695,1500,1683,1595,1499,1475,1475,1900,1750,1550,1550,1550,1675,1798,1675,1475,1500,1598,1600,1625,1650,1722,1750,1760,1822,1675,1675,1737,1525,1650,1650,1638,1850,1850,1745,1720,1550,1613,1950,1795,1563,1650,1700,1700,1595,1600,1898,1550,1950,2260,1795,1860,1750,1725,1700,1838,1895,2100,1895,2295,2130,2125,2100,1835,1885,1895,1773,1900,1875,1875,1948,1800,1990,1970,1995,1995,1813,1775,1940,2000,2100,2250,1985,2584,1995,1900,2195,1950
Oakland Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,2000,1925,1875,1975,2100,2025,1950,1950,2000,1950,1850,1850,,,,1850,1800,1800,2150,1950,1750,2050,2125,2100,1725,1700,1725,1725,2075,2150,1763,2100,1763,,1700,1650,1650,,,,,,,,,,,1775,2200,2000,,,,1750,1975,2075,,,,,,1900,,,,2425,,,,2100,2100,,,,,2023,1875,2095,2095,2250,2450,2500,2550,2150,2125,2260,2300,2375,2375,2450,2450,2350,2345,2325,2348,2300,2300,2598,2373,2395,2395,2395,2425,2350,2473,2525,2598,2450,2450,2473,2523,2450,2497,2650,2675,2695,2650,2550,2695,2723,2700,2700,2725
Ocean Parkway,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1600,1650,1550,1475,1563,,,,1613,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,,,,,,,
